g09102279876286008263,bandra e,\N,V,,1,22269,1,
1.02396E+20,BBPS,\N,X,,1,22269,10,
g12299595911818313485,BDMI,\N,X,,1,22269,9,
g02486268045040881737,bhavans,\N,VI,,1,22269,9,
g08788529451270127130,bhavans  A.H wadia high school,\N,VII,,1,22269,8,
g16007957665622823960,Bhavans A H Wadia,\N,VI,,1,22269,8,
g06636273469071751552,Bhavans A.H Wadia,\N,XI,,1,22269,10,
g17694192063573823922,Bhavans Ah Wadia High School,\N,VII,,1,22269,10,
g17160672840136684455,BHULKA VIHAR,\N,XII,,1,22269,9,
g14077782254575825692,billabong,\N,VIII,,1,22269,8,
g09547893862292096218,billabong high international ,\N,VI,,1,22269,10,
1.06749E+20,Birla School,\N,IX,,1,22269,10,
g12730304919947687577,Bombay Cambridge,\N,XI,,1,22269,9,
1.17469E+20,Bombay Scottish School Mahim,\N,IX,,1,22269,7,
g06300454232964813194,BONNY SCHOOL,\N,IX,,1,22269,9,
g04939801244178876503,BRIMS,\N,VIII,,1,22269,10,
g10361632025273307525,C.N.V.M,\N,VII,,1,22269,9,
g07978236088371798695,Cambridge,\N,IX,,1,22269,8,
g04443953648286345382,Campion ,\N,V,,1,22269,10,
g18272126039931334823,Campion\,\N,,,1,22269,1,
g07335909233164008248,canossa,\N,IX,,1,22269,4,
g09505221738484788877,canossa high school,\N,X,,1,22269,7,
g00402159345326441148,cardinal gracias  high. school,\N,VI,,1,22269,10,
g11296686665386833886,Carmel Of St Joseph,\N,VIII,,1,22269,10,
a_4696660463417860663,carmel senior secondary school,\N,V,,1,22269,9,
g09254477821542287610,CCS,\N,VII,,1,22269,11,
g15418919154816037067,CCS,\N,VII,,1,22269,8,
a_7469248103874843876,central academy international school,\N,IV,,1,22269,7,
g09610269590198809889,century,\N,X,,1,22269,7,
g12117439886457114523,century rayon kalyan,\N,X,,1,22269,8,
g13486943958451621237,Christ Church,\N,VII,,1,22269,8,
g02604495461852900625,Christ church,\N,VII,,1,22269,6,
g01716613425277230459,Christ church ,\N,VIII,,1,22269,7,
1.10594E+20,christ church school,\N,IX,,1,22269,8,
g14576844200392572599,CHRIST CHURCH SCHOOL,\N,VII,,1,22269,7,
1.01563E+20,CHRIST CHURCH SCHOOL ,\N,IX,,1,22269,1,
